Año,Entidad,Municipio,Tipo de delito,Subtipo de delito,Mes,Casos
2020,Guanajuato,Abasolo,Homicidio,Homicidio doloso,Enero,1.0
2020,Guanajuato,Abasolo,Homicidio,Homicidio doloso,Enero,0.0
2020,Guanajuato,Abasolo,Homicidio,Homicidio doloso,Enero,1.0
2020,Guanajuato,Abasolo,Homicidio,Homicidio doloso,Enero,0.0
2020,Guanajuato,Abasolo,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,Abasolo,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,Abasolo,Homicidio,Homicidio culposo,Enero,1.0
2020,Guanajuato,Abasolo,Homicidio,Homicidio culposo,Enero,1.0
2020,Guanajuato,Abasolo,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio doloso,Enero,10.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio doloso,Enero,0.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio doloso,Enero,3.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio doloso,Enero,0.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio culposo,Enero,2.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio culposo,Enero,4.0
2020,Guanajuato,Acámbaro,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio doloso,Enero,6.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio doloso,Enero,1.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio doloso,Enero,3.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio doloso,Enero,0.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio culposo,Enero,1.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio culposo,Enero,2.0
2020,Guanajuato,San Miguel de Allende,Homicidio,Homicidio culposo,Enero,0.0
2020,Guanajuato,Apaseo el Alto,Homicidio,Homicidio doloso,Enero,10.0
2020,Guanajuato,Apaseo el Alto,Homicidio,Homicidio doloso,Enero,0.0
2020,Guanajuato,Apaseo el Alto,Homicidio,Homicidio doloso,Enero,0.0
2020,Guanajuato,Apaseo el Alto,Homicidio,Homicidio doloso,Enero,0.0
