Municipio,Año,Subtipo de delito,Casos
Abasolo,2020,Homicidio culposo,27.0
Abasolo,2020,Homicidio doloso,19.0
Abasolo,2021,Homicidio culposo,28.0
Abasolo,2021,Homicidio doloso,28.0
Abasolo,2022,Homicidio culposo,24.0
Abasolo,2022,Homicidio doloso,34.0
Abasolo,2023,Homicidio culposo,39.0
Abasolo,2023,Homicidio doloso,25.0
Abasolo,2024,Homicidio culposo,41.0
Abasolo,2024,Homicidio doloso,23.0
Abasolo,2025,Homicidio culposo,31.0
Abasolo,2025,Homicidio doloso,11.0
Acámbaro,2020,Homicidio culposo,37.0
Acámbaro,2020,Homicidio doloso,105.0
Acámbaro,2021,Homicidio culposo,21.0
Acámbaro,2021,Homicidio doloso,80.0
Acámbaro,2022,Homicidio culposo,17.0
Acámbaro,2022,Homicidio doloso,53.0
Acámbaro,2023,Homicidio culposo,49.0
Acámbaro,2023,Homicidio doloso,35.0
Acámbaro,2024,Homicidio culposo,38.0
Acámbaro,2024,Homicidio doloso,50.0
Acámbaro,2025,Homicidio culposo,54.0
Acámbaro,2025,Homicidio doloso,37.0
Apaseo el Alto,2020,Homicidio culposo,28.0
Apaseo el Alto,2020,Homicidio doloso,120.0
Apaseo el Alto,2021,Homicidio culposo,13.0
Apaseo el Alto,2021,Homicidio doloso,56.0
Apaseo el Alto,2022,Homicidio culposo,10.0
Apaseo el Alto,2022,Homicidio doloso,30.0
Apaseo el Alto,2023,Homicidio culposo,13.0
Apaseo el Alto,2023,Homicidio doloso,19.0
Apaseo el Alto,2024,Homicidio culposo,13.0
Apaseo el Alto,2024,Homicidio doloso,27.0
Apaseo el Alto,2025,Homicidio culposo,15.0
Apaseo el Alto,2025,Homicidio doloso,39.0
Apaseo el Grande,2020,Homicidio culposo,48.0
Apaseo el Grande,2020,Homicidio doloso,106.0
Apaseo el Grande,2021,Homicidio culposo,16.0
Apaseo el Grande,2021,Homicidio doloso,150.0
Apaseo el Grande,2022,Homicidio culposo,30.0
Apaseo el Grande,2022,Homicidio doloso,66.0
Apaseo el Grande,2023,Homicidio culposo,30.0
Apaseo el Grande,2023,Homicidio doloso,52.0
Apaseo el Grande,2024,Homicidio culposo,29.0
Apaseo el Grande,2024,Homicidio doloso,61.0
Apaseo el Grande,2025,Homicidio culposo,20.0
Apaseo el Grande,2025,Homicidio doloso,62.0
Atarjea,2020,Homicidio culposo,1.0
Atarjea,2020,Homicidio doloso,0.0
Atarjea,2021,Homicidio culposo,0.0
Atarjea,2021,Homicidio doloso,0.0
Atarjea,2022,Homicidio culposo,1.0
Atarjea,2022,Homicidio doloso,0.0
Atarjea,2023,Homicidio culposo,0.0
Atarjea,2023,Homicidio doloso,1.0
Atarjea,2024,Homicidio culposo,1.0
Atarjea,2024,Homicidio doloso,0.0
Atarjea,2025,Homicidio culposo,1.0
Atarjea,2025,Homicidio doloso,0.0
Celaya,2020,Homicidio culposo,103.0
Celaya,2020,Homicidio doloso,493.0
