Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,1,2,2,1,1,2,2,0,1,1,1,1.0
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,1,0,1,1,0,0,0,1,0,0,0,0.0
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,1,4,3,1,1,3,1,1,1,2,1,2.0
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,1,2,0,0,0,1,0,1,0,1,0,0.0
2020,11,Guanajuato,11001,Abasolo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,10,4,4,6,7,8,8,4,5,3,2,5.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,2,0,1,0,0,0,0,0,0.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,3,3,5,3,2,2,3,1,3,5,6,0.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,2,5,1,1,0,3,0,1,0,0,4,1.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,4,4,1,2,1,0,4,0,1,1,0,1.0
2020,11,Guanajuato,11002,Acámbaro,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Guanajuato,11003,San Miguel de Allende,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,6,3,7,4,2,1,1,0,3,1,1,2.0
2020,11,Guanajuato,11003,San Miguel de Allende,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,1,1,0,0,0,1,0,0,0,0,0,0.0
2020,11,Guanajuato,11003,San Miguel de Allende,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,3,1,0,0,0,1,1,0,1,0,0,0.0
2020,11,Guanajuato,11003,San Miguel de Allende,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,0,0,0,0,0,0.0
